MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
5,2017,5/29/2017,,,False_Crawls,Non_Nesting,-3.070788,126.574048
5,2017,5/30/2017,3,13,Nesting_Individu,Secure,-3.071921,126.56456
5,2017,5/30/2017,,,Nest,Lost,-3.072421,126.545698
6,2017,6/1/2017,,,Nest,Lost,-3.072466,126.554989
6,2017,6/2/2017,,,Nest,Secure,-3.072466,126.555026
6,2017,6/2/2017,22,48,Nesting_Individu,Secure,-3.069283,126.621763
6,2017,6/3/2017,,,Nest,Lost,-3.072424,126.555146
6,2017,6/4/2017,,,Nest,Lost,-3.072114,126.548828
6,2017,6/6/2017,,,Nest,Lost,-3.072164,126.549033
6,2017,6/6/2017,,,Nest,Lost,-3.070925,126.573574
6,2017,6/8/2017,,,Nest,Lost,-3.069108,126.587338
6,2017,6/8/2017,,,Nest,Lost,-3.068612,126.588438
6,2017,6/8/2017,,,Nest,Lost,-3.069748,126.584367
6,2017,6/9/2017,,,False_Crawls,Non_Nesting,-3.072394,126.541874
6,2017,6/10/2017,,,Nest,Lost,-3.071909,126.565462
6,2017,6/10/2017,,,Nest,Lost,-3.071898,126.565335
6,2017,6/11/2017,,,Nest,Lost,-3.072035,126.565553
6,2017,6/11/2017,,,Nest,Lost,-3.071989,126.563113
6,2017,6/11/2017,,,Nest,Lost,-3.071911,126.565337
6,2017,6/17/2017,,,Nest,Lost,-3.071899,126.564633
6,2017,6/17/2017,,,False_Crawls,Non_Nesting,-3.070108,126.627385
6,2017,6/18/2017,,,Nest,Lost,-3.065721,126.606677
6,2017,6/18/2017,,,Nest,Lost,-3.071858,126.565506
6,2017,6/19/2017,23,40,Nesting_Individu,Secure,-3.069692,126.621008
6,2017,6/21/2017,,,Nest,Secure,-3.072003,126.56403
6,2017,6/21/2017,,,False_Crawls,Non_Nesting,-3.072011,126.566819
6,2017,6/23/2017,,,Nest,Secure,-3.072061,126.56541
6,2017,6/24/2017,,,Nest,Lost,-3.069182,126.618586
6,2017,6/26/2017,,,Nest,Lost,-3.071964,126.567778
6,2017,6/27/2017,,,Nest,Lost,-3.071184,126.571407
6,2017,6/28/2017,,,Nest,Secure,-3.069182,126.61887
6,2017,6/28/2017,,,False_Crawls,Non_Nesting,-3.071137,126.571359
6,2017,6/29/2017,,,Nest,Lost,-3.071983,126.560962
6,2017,6/29/2017,,,Nest,Lost,-3.071854,126.564632
6,2017,6/30/2017,21,36,Nesting_Individu,Secure,-3.068187,126.611567
7,2017,7/5/2017,,,Nest,Lost,-3.069953,126.625976
7,2017,7/5/2017,,,False_Crawls,Non_Nesting,-3.071923,126.562851
7,2017,7/6/2017,,,Nest,Lost,-3.072002,126.562083
7,2017,7/7/2017,,,Nest,Secure,-3.071311,126.571321
7,2017,7/7/2017,,,False_Crawls,Non_Nesting,-3.071234,126.571267
7,2017,7/8/2017,,,Nest,Lost,-3.072282,126.553359
7,2017,7/8/2017,,,Nest,Lost,-3.071243,126.571894
7,2017,7/8/2017,,,Nest,Lost,-3.072284,126.551452
7,2017,7/8/2017,23,18,False_Crawls,Non_Nesting,-3.071356,126.570888
7,2017,7/9/2017,,,Nest,Lost,-3.071997,126.561445
7,2017,7/9/2017,,,False_Crawls,Non_Nesting,-3.071322,126.570495
7,2017,7/9/2017,,,False_Crawls,Non_Nesting,-3.070769,126.574171
7,2017,7/10/2017,,,Nest,Secure,-3.072331,126.552822
7,2017,7/10/2017,,,Nest,Lost,-3.072242,126.553378
7,2017,7/11/2017,,,Nest,Secure,-3.069192,126.587284
7,2017,7/11/2017,,,Nest,Secure,-3.068474,126.589167
7,2017,7/11/2017,,,Nest,Lost,-3.06839,126.589884
7,2017,7/11/2017,,,Nest,Lost,-3.06887,126.587835
7,2017,7/13/2017,,,Nest,Lost,-3.072036,126.56124
7,2017,7/14/2017,,,Nest,Lost,-3.069815,126.623256
7,2017,7/19/2017,,,Nest,Secure,-3.072009,126.566262
7,2017,7/19/2017,,,Nest,Lost,-3.071112,126.571576
7,2017,7/19/2017,,,Nest,Lost,-3.071023,126.572973
7,2017,7/19/2017,,,False_Crawls,Non_Nesting,-3.071939,126.568234
7,2017,7/19/2017,,,False_Crawls,Non_Nesting,-3.071437,126.570539
7,2017,7/19/2017,,,False_Crawls,Non_Nesting,-3.071824,126.568233
